variable_name,variable_type,variable_label,missing_values
d3b,"haven_labelled, vctrs_vctr, double",% O Sales: Indirect Exports,255
d3b_br,"haven_labelled, vctrs_vctr, double",Follow-up: % O Sales: Indirect Exports,268715
d3c,"haven_labelled, vctrs_vctr, double",% Of Sales: Direct Exports,297
d3c_br,"haven_labelled, vctrs_vctr, double",Follow-up: % of Sales: Direct Exports,268715
d31x,character,Main destination of exports (economy code),0
d31x_br,"haven_labelled, vctrs_vctr, double",Main destination of exports (economy code),270173
d32,"haven_labelled, vctrs_vctr, double",Main point of exit,262392
d32_br,"haven_labelled, vctrs_vctr, double",Main point of exit,269705
d42,"haven_labelled, vctrs_vctr, double","When goods exported directly, was any inspection, certification, or licensing do",268005
d43a,"haven_labelled, vctrs_vctr, double","Average duration to conduct inspections, certifications, and licensing: days",268954
d43b,"haven_labelled, vctrs_vctr, double","Average duration to conduct inspections, certifications, and licensing: hours",268954
d4,"haven_labelled, vctrs_vctr, double","In Last Fy, Avg. Num. Of Days For Exported Goods To Clear Customs?",227218
d4a,"haven_labelled, vctrs_vctr, double","In Last FY, Avg. Num. of Days For Exported Goods To Clear Customs?",259791
d4a_br,"haven_labelled, vctrs_vctr, double","In Last FY, Avg. Num. of Days For Exported Goods To Clear Customs?",269948
d4b,"haven_labelled, vctrs_vctr, double","If less than a day, total hours for exported goods to clear customs",266547
d4b_br,"haven_labelled, vctrs_vctr, double","If less than a day, total hours for exported goods to clear customs",270181
d33a,"haven_labelled, vctrs_vctr, double","In Last FY, Avg. Num. of Days For Exported Goods To Clear all border control age",262925
d33a_br,"haven_labelled, vctrs_vctr, double","In Last FY, Avg. Num. of Days For Exported Goods To Clear all border control age",269759
d33b,"haven_labelled, vctrs_vctr, double","If less than a day, total hours for exported goods to clear all border control a",269245
d33b_br,"haven_labelled, vctrs_vctr, double","If less than a day, total hours for exported goods to clear all border control a",269989
d34,"haven_labelled, vctrs_vctr, double",FCA costs to comply with all export requirements (% of value of goods exported),260204
d34_br,"haven_labelled, vctrs_vctr, double",FCA costs to comply with all export requirements (% of value of goods exported),269749
d342,"haven_labelled, vctrs_vctr, double",Costs to Comply with all Export Requirements (% of value of goods exported),263391
d342b,"haven_labelled, vctrs_vctr, double",Most Frequently Used Incoterm When Exporting Directly,265578
d35,"haven_labelled, vctrs_vctr, double",Any exports shipped by main parcel?,260061
d35_br,"haven_labelled, vctrs_vctr, double",Any exports shipped by main parcel?,269766
d352,"haven_labelled, vctrs_vctr, double",Any online orders that didn't require custom duties in destination,267860
d36a,"haven_labelled, vctrs_vctr, double","In Last FY, Avg. Num. of Days For Exported Goods To Clear all border control age",269535
d36a_br,"haven_labelled, vctrs_vctr, double","In Last FY, Avg. Num. of Days For Exported Goods To Clear all border control age",270087
d36b,"haven_labelled, vctrs_vctr, double","If less than a day, total hours for exported goods to clear all border control a",270075
d36b_br,"haven_labelled, vctrs_vctr, double","If less than a day, total hours for exported goods to clear all border control a",270184
d37,"haven_labelled, vctrs_vctr, double",Average cost of digital exports (% of value of goods),269535
d37_br,"haven_labelled, vctrs_vctr, double",Average cost of digital exports (% of value of goods),270087
d5,"haven_labelled, vctrs_vctr, double",Exports Longest Days - Customs,263821
d5a,"haven_labelled, vctrs_vctr, double","In Clearing Exports Through Customs,Informal Gift/Payment Expected Or Requested?",258487
d6,"haven_labelled, vctrs_vctr, double","In Last Fy, Export Losses Due To Theft As % Of Value Of Products",241955
d7,"haven_labelled, vctrs_vctr, double","In Last Fy, Export Losses Due To Breakage Or Spoilage As % Of Value Of Products",242741
d8,"haven_labelled, vctrs_vctr, double",In What Year Did This Establishment First Export Directly Or Indirectly?,200573
d9,"haven_labelled, vctrs_vctr, double",Who Was The Principal Buyer For This EstablishmentÓ“ Output?,255794
d10,"haven_labelled, vctrs_vctr, double","In Last Fy, % Of Value Of Products Lost In Transit Due To Theft",110883
d10a,"haven_labelled, vctrs_vctr, double",% Consignment Value Dom. Exports Lost In Transit Due To Theft/Breakage/Spoilage,257316
d11,"haven_labelled, vctrs_vctr, double","In Last Fy, % Of Value Of Products Lost In Transit Due To Breakage Or Spoilage?",124147
d12a,"haven_labelled, vctrs_vctr, double",% Of Material Inputs And Supplies Of Domestic Origin In Last Fiscal Year,55756
d12a_br,"haven_labelled, vctrs_vctr, double",Follow-up: % of Material Inputs And Supplies of Domestic origin In Last Fiscal Y,270193
d12b,"haven_labelled, vctrs_vctr, double",% Of Material Inputs And Supplies Of Foreign Origin In Last Fiscal Year,56247
d12b_br,character,Follow-up: % of Material Inputs And Supplies of Foreign origin In Last Fiscal Ye,0
d13,"haven_labelled, vctrs_vctr, double",Were Any Of These Material Inputs And Supplies Imported Directly?,182716
d13_br,"haven_labelled, vctrs_vctr, double",Follow-up: Were Any of These Material Inputs And Supplies Imported Directly?,269807
d38x,character,Main origin of imports (economy code),0
d38x_br,"haven_labelled, vctrs_vctr, double",Main origin of imports (economy code),270061
d39,"haven_labelled, vctrs_vctr, double",Main point of entry,258522
d39_br,"haven_labelled, vctrs_vctr, double",Main point of entry,269612
d44,"haven_labelled, vctrs_vctr, double","Inspection, certification or licensing prior to point of entry",265528
d45a,"haven_labelled, vctrs_vctr, double",Average duration to clear customs: Days,267061
d45b,"haven_labelled, vctrs_vctr, double",Average duration to clear customs: Hours,267061
d14,"haven_labelled, vctrs_vctr, double",Avg. Num. Of Days For Imported Goods To Clear Customs In Last Fiscal Year,214182
d14a,"haven_labelled, vctrs_vctr, double",Avg. Num. of Days For Imported Goods To Clear Customs In Last Fiscal Year,253718
d14a_br,"haven_labelled, vctrs_vctr, double",Avg. Num. of Days For Imported Goods To Clear Customs In Last Fiscal Year,269669
d14b,"haven_labelled, vctrs_vctr, double","If less than a day, total hours for imported goods to clear customs",264176
d14b_br,"haven_labelled, vctrs_vctr, double","If less than a day, total hours for imported goods to clear customs",270193
d40a,"haven_labelled, vctrs_vctr, double","In Last FY, Avg. Num. of Days For Imported Goods To Clear all border control age",259181
d40a_br,"haven_labelled, vctrs_vctr, double","In Last FY, Avg. Num. of Days For Imported Goods To Clear all border control age",269629
d40b,"haven_labelled, vctrs_vctr, double","If less than a day, total hours for imported goods to clear all border control a",269217
d40b_br,"haven_labelled, vctrs_vctr, double","If less than a day, total hours for imported goods to clear all border control a",270179
d41,"haven_labelled, vctrs_vctr, double",DAP costs to comply with all import requirements (% of value of goods imported),253860
d41_br,"haven_labelled, vctrs_vctr, double",DAP costs to comply with all import requirements (% of value of goods imported),269612
d412,"haven_labelled, vctrs_vctr, double",Costs to Comply with all Import Requirements (% of value of goods imported),259051
d412b,"haven_labelled, vctrs_vctr, double",Most Frequently Used Incoterm When Importing Directly,263716
d15,"haven_labelled, vctrs_vctr, double",Imports Longest Days - Customs,264887
d15a,"haven_labelled, vctrs_vctr, double","In Clearing Imports Through Customs,Informal Gift/Payment Expected Or Requested?",252607
d16,"haven_labelled, vctrs_vctr, double","When You Receive Your Most Key Input, How Many Days Of Stock Is Available?",202596
d17,"haven_labelled, vctrs_vctr, double",Av. Number Of Days Of Inventory On Hand After Receving Sales Item,242964
d30a,"haven_labelled, vctrs_vctr, double",How Much Of An Obstacle: Transport?,67
d30b,"haven_labelled, vctrs_vctr, double",How Much Of An Obstacle: Customs And Trade Regulations?,336
o1,"haven_labelled, vctrs_vctr, double","In the last three years, establishment had any commercial dispute?",196390
o1_br,"haven_labelled, vctrs_vctr, double","In the last three years, establishment had any commercial dispute?",266784
o2,"haven_labelled, vctrs_vctr, double","Use of courts, arbitration etc. to (or attempt to ) resolve  commercial dispute?",260256
o2_br,"haven_labelled, vctrs_vctr, double","Use of courts, arbitration etc. to (or attempt to ) resolve  commercial dispute?",269796
o3a,"haven_labelled, vctrs_vctr, double",Reliable alternative to courts for resolving commercial disputes: Arbitration?,196575
o3a_br,"haven_labelled, vctrs_vctr, double",Reliable alternative to courts for resolving commercial disputes: Arbitration?,266784
o3a2,"haven_labelled, vctrs_vctr, double",Reliable mechanism to  resolve commercial disputes: Arbitration?,220252
o3b,"haven_labelled, vctrs_vctr, double",Reliable alternative to courts for resolving commercial disputes:Mediation etc.?,196575
o3b_br,"haven_labelled, vctrs_vctr, double",Reliable alternative to courts for resolving commercial disputes:Mediation etc.?,266784
o3b2,"haven_labelled, vctrs_vctr, double",Reliable mechanism to resolve commercial disputes:Mediation?,220252
e1,"haven_labelled, vctrs_vctr, double","In Last Fy, Main Market For Establishment'S Main Product",103319
e1_br,"haven_labelled, vctrs_vctr, double","In Last FY, Main Market For Establishment'S Main Product. Asked of services esta",268209
e1_esbr,"haven_labelled, vctrs_vctr, double","In Last FY, Main Market For Establishment'S Main Product. COMBINED VERSION Manuf",269653
e2,"haven_labelled, vctrs_vctr, double",How Many Competitors Did This EstablishmentÓ“ Main Product/Product Line Face?,243068
e2b,"haven_labelled, vctrs_vctr, double",Competitors For The Main Product/Service In The Main Market,142106
e2b_br,numeric,Competitors For The Main Product/Service In The Main Market. Asked of services e,268223
e2b_esbr,numeric,Competitors For The Main Product/Service In The Main Market. COMBINED VERSION Ma,269719
e31a,"haven_labelled, vctrs_vctr, double",Market share of largest competitor in the last fiscal year,260035
e31a_br,"haven_labelled, vctrs_vctr, double",Market share of largest competitor in the last fiscal year,268347
e31b,"haven_labelled, vctrs_vctr, double",Market share of largest competitor in the last fiscal year,260158
e31b_br,"haven_labelled, vctrs_vctr, double",Market share of largest competitor in the last fiscal year,268263
e312,"haven_labelled, vctrs_vctr, double",Which Best Descibes Establishment's Main Market,225310
e3,"haven_labelled, vctrs_vctr, double",No. Sales Of Main Product Increase/Remain The Same/Decrease In Last Fiscal Yr?,253762
e4,"haven_labelled, vctrs_vctr, double",Did Price Of Main Product Increase/Remain The Same/Decrease In Last Fiscal Yr?,253765
e6,"haven_labelled, vctrs_vctr, double",Do You Use Technology Licensed From A Foreign-Owned Company?,59396
e6_br,"haven_labelled, vctrs_vctr, double",Do You Use Technology Licensed From A Foreign-Owned Company? Asked of services e,268185
e6_esbr,"haven_labelled, vctrs_vctr, double",Do You Use Technology Licensed From A Foreign-Owned Company?  COMBINED VERSION M,269710
e11,"haven_labelled, vctrs_vctr, double",Does This Establishment Compete Against Unregistered Or Informal Firms?,13584
