"variable_name","variable_type","variable_label"
"d32","haven_labelled, vctrs_vctr, double","Main point of exit"
"d32_BR","haven_labelled, vctrs_vctr, double","Main point of exit"
"d42","haven_labelled, vctrs_vctr, double","When goods exported directly, was any inspection, certification, or licensing do"
"d43a","haven_labelled, vctrs_vctr, double","Average duration to conduct inspections, certifications, and licensing: days"
"d43b","haven_labelled, vctrs_vctr, double","Average duration to conduct inspections, certifications, and licensing: hours"
"d4","haven_labelled, vctrs_vctr, double","In Last Fy, Avg. Num. Of Days For Exported Goods To Clear Customs?"
"d4a","haven_labelled, vctrs_vctr, double","In Last FY, Avg. Num. of Days For Exported Goods To Clear Customs?"
"d4a_BR","haven_labelled, vctrs_vctr, double","In Last FY, Avg. Num. of Days For Exported Goods To Clear Customs?"
"d4b","haven_labelled, vctrs_vctr, double","If less than a day, total hours for exported goods to clear customs"
"d4b_BR","haven_labelled, vctrs_vctr, double","If less than a day, total hours for exported goods to clear customs"
"d33a","haven_labelled, vctrs_vctr, double","In Last FY, Avg. Num. of Days For Exported Goods To Clear all border control age"
"d33a_BR","haven_labelled, vctrs_vctr, double","In Last FY, Avg. Num. of Days For Exported Goods To Clear all border control age"
"d33b","haven_labelled, vctrs_vctr, double","If less than a day, total hours for exported goods to clear all border control a"
"d33b_BR","haven_labelled, vctrs_vctr, double","If less than a day, total hours for exported goods to clear all border control a"
"d34","haven_labelled, vctrs_vctr, double","FCA costs to comply with all export requirements (% of value of goods exported)"
"d34_BR","haven_labelled, vctrs_vctr, double","FCA costs to comply with all export requirements (% of value of goods exported)"
"d342","haven_labelled, vctrs_vctr, double","Costs to Comply with all Export Requirements (% of value of goods exported)"
"d342b","haven_labelled, vctrs_vctr, double","Most Frequently Used Incoterm When Exporting Directly"
"d35","haven_labelled, vctrs_vctr, double","Any exports shipped by main parcel?"
"d35_BR","haven_labelled, vctrs_vctr, double","Any exports shipped by main parcel?"
"d352","haven_labelled, vctrs_vctr, double","Any online orders that didn't require custom duties in destination"
"d36a","haven_labelled, vctrs_vctr, double","In Last FY, Avg. Num. of Days For Exported Goods To Clear all border control age"
"d36a_BR","haven_labelled, vctrs_vctr, double","In Last FY, Avg. Num. of Days For Exported Goods To Clear all border control age"
"d36b","haven_labelled, vctrs_vctr, double","If less than a day, total hours for exported goods to clear all border control a"
"d36b_BR","haven_labelled, vctrs_vctr, double","If less than a day, total hours for exported goods to clear all border control a"
"d37","haven_labelled, vctrs_vctr, double","Average cost of digital exports (% of value of goods)"
"d37_BR","haven_labelled, vctrs_vctr, double","Average cost of digital exports (% of value of goods)"
"d5","haven_labelled, vctrs_vctr, double","Exports Longest Days - Customs"
